 x time
891 0.10728 8.285653487
892 0.10894 8.293968858
893 0.1106 8.302321879
894 0.11226 8.310705248
895 0.11392 8.31909535
896 0.11559 8.327322182
897 0.11727 8.335637653
898 0.11894 8.344071187
899 0.12062 8.352307607
900 0.12231 8.360656501
901 0.124 8.368970359
902 0.12569 8.37732871
903 0.12738 8.385643589
904 0.12908 8.394073025
905 0.13078 8.402323503
906 0.13249 8.410639675
907 0.1342 8.419073519
908 0.13592 8.427310942
909 0.13763 8.4356569
910 0.13936 8.443971329
911 0.14108 8.452330953
912 0.14281 8.460646794
913 0.14455 8.469075469
914 0.14628 8.477325705
915 0.14802 8.485640344
916 0.14977 8.494076273
917 0.15152 8.502314076
918 0.15327 8.510666497
919 0.15503 8.518976617
920 0.15679 8.52733606
921 0.15855 8.535639859
922 0.16032 8.544076217
923 0.1621 8.552324381
924 0.16387 8.560641816
925 0.16565 8.569077894
926 0.16744 8.577320787
927 0.16923 8.585635947
928 0.17102 8.594078077
929 0.17282 8.602324387
930 0.17462 8.610632063
931 0.17643 8.619076658
932 0.17824 8.62732966
933 0.18005 8.63567655
934 0.18187 8.643969529
935 0.18369 8.652295138
936 0.18552 8.660649502
937 0.18735 8.669078507
938 0.18918 8.677327943
939 0.19102 8.685643183
940 0.19286 8.694078891
941 0.19471 8.702320502
942 0.19656 8.710633849
943 0.19842 8.719077531
944 0.20028 8.727315616
945 0.20215 8.735661404
946 0.20401 8.743970482
947 0.20589 8.752329234
948 0.20777 8.760644545
949 0.20965 8.769079952
950 0.21154 8.777322835
951 0.21343 8.785636633
952 0.21532 8.794079223
953 0.21722 8.80231862
954 0.21913 8.810662805
955 0.22104 8.818978035
956 0.22295 8.827296221
957 0.22487 8.835653029
958 0.22679 8.844077856
959 0.22872 8.852323636
960 0.23065 8.860638324
961 0.23258 8.869079512
962 0.23453 8.877322225
963 0.23647 8.885645481
964 0.23842 8.893975649
965 0.24038 8.902309554
966 0.24234 8.910651004
967 0.2443 8.919081341
968 0.24627 8.927291192
969 0.24824 8.935640196
970 0.25022 8.944080172
971 0.2522 8.952325289
972 0.25419 8.960639568
973 0.25618 8.969082489
974 0.25818 8.977318078
975 0.26018 8.985631385
976 0.26219 8.993979978
977 0.2642 9.002298364
978 0.26622 9.010646145
979 0.26824 9.019082564
980 0.27027 9.02732637
981 0.2723 9.035640959
982 0.27433 9.044081234
983 0.27638 9.052324188
984 0.27842 9.060635049
985 0.28047 9.068968865
986 0.28253 9.077325663
987 0.28459 9.085635012
988 0.28666 9.093984697
989 0.28873 9.102308894
990 0.2908 9.110654151
991 0.29289 9.118966856
992 0.29497 9.127319267
993 0.29706 9.135633154
994 0.29916 9.143981316
995 0.30126 9.152308889
996 0.30337 9.160653024
997 0.30548 9.168970408
998 0.3076 9.177318931
999 0.30972 9.185635684
1000 0.31185 9.193982093
1001 0.31399 9.202308083
1002 0.31613 9.210655895
1003 0.31827 9.218970404
1004 0.32042 9.22732062
1005 0.32257 9.235637353
1006 0.32473 9.243982209
1007 0.3269 9.252310042
1008 0.32907 9.260656311
1009 0.33125 9.268974868
1010 0.33343 9.27735511
1011 0.33562 9.285648379
1012 0.33781 9.293981523
1013 0.34001 9.302315729
1014 0.34221 9.310654854
1015 0.34442 9.3189731
1016 0.34663 9.327298148
1017 0.34886 9.335643826
1018 0.35108 9.344085354
1019 0.35331 9.352328608
1020 0.35555 9.360644951
1021 0.35779 9.36908728
1022 0.36004 9.377323401
1023 0.3623 9.385637239
1024 0.36456 9.394082284
1025 0.36682 9.402321049
1026 0.36909 9.410638223
1027 0.37137 9.418986365
1028 0.37365 9.427311965
1029 0.37594 9.435658224
1030 0.37824 9.443972632
1031 0.38054 9.452298071
1032 0.38285 9.460646294
1033 0.38516 9.468961764
1034 0.38748 9.477324894
1035 0.3898 9.485640455
1036 0.39213 9.493986102
1037 0.39447 9.502314066
1038 0.39681 9.51065781
1039 0.39916 9.518973481
1040 0.40151 9.527324909
1041 0.40387 9.535647864
1042 0.40624 9.544088151
1043 0.40861 9.552300987
1044 0.41099 9.560649941
1045 0.41338 9.56909214
1046 0.41577 9.577334182
1047 0.41816 9.585643832
1048 0.42057 9.593988377
1049 0.42298 9.602315189
1050 0.42539 9.610629628
1051 0.42781 9.61897803
1052 0.43024 9.627310884
1053 0.43268 9.635656421
1054 0.43512 9.643970819
1055 0.43757 9.652325533
1056 0.44002 9.660641355
1057 0.44248 9.668988175
1058 0.44495 9.677313614
1059 0.44742 9.685627962
1060 0.4499 9.693975774
1061 0.45239 9.702308577
1062 0.45488 9.710652321
1063 0.45738 9.718970065
1064 0.45988 9.72728761
1065 0.46239 9.735642765
1066 0.46491 9.743987952
1067 0.46744 9.752315706
1068 0.46997 9.76062802
1069 0.47251 9.768976383
1070 0.47505 9.777302203
1071 0.47761 9.785649694
1072 0.48016 9.793962159
1073 0.48273 9.802324939
1074 0.4853 9.81063596
1075 0.48788 9.818983532
1076 0.49047 9.82731921
1077 0.49306 9.835630372
1078 0.49566 9.843977903
1079 0.49827 9.852305586
1080 0.50088 9.860650863
1081 0.5035 9.868968949
1082 0.50613 9.877323052
1083 0.50876 9.885638112
1084 0.5114 9.893984681
1085 0.51405 9.902318225
1086 0.5167 9.910623436
1087 0.51937 9.918970266
1088 0.52204 9.927305053
1089 0.52471 9.935651972
1090 0.5274 9.943967112
1091 0.53009 9.952324692
1092 0.53278 9.960639311
1093 0.53549 9.968988254
1094 0.5382 9.97731178
1095 0.54092 9.985628382
1096 0.54365 9.99397425
1097 0.54638 10.002323484
1098 0.54912 10.010658572
1099 0.55187 10.018968251
1100 0.55463 10.027343234
1101 0.55739 10.035643115
1102 0.56016 10.043990566
1103 0.56294 10.052317267
1104 0.56572 10.060628159
1105 0.56852 10.068978856
1106 0.57132 10.07730111
1107 0.57412 10.085650354
1108 0.57694 10.093965053
1109 0.57976 10.10232125
1110 0.58259 10.110636319
1111 0.58543 10.118985072
1112 0.58828 10.127317445
1113 0.59113 10.135660067
1114 0.59399 10.143972
1115 0.59686 10.152304623
1116 0.59973 10.160653256
1117 0.60262 10.168961693
1118 0.60551 10.177324443
1119 0.60841 10.185638922
1120 0.61132 10.193985491
1121 0.61423 10.202315829
1122 0.61715 10.210661918
1123 0.62008 10.218980173
1124 0.62302 10.227306584
1125 0.62597 10.235649336
1126 0.62892 10.243967151
1127 0.63189 10.252293211
1128 0.63486 10.260640452
1129 0.63783 10.268992631
1130 0.64082 10.277320024
1131 0.64381 10.285633671
1132 0.64682 10.293979279
1133 0.64983 10.302310359
1134 0.65284 10.310657629
1135 0.65587 10.318973891
1136 0.6589 10.327301104
1137 0.66195 10.335645529
1138 0.665 10.343962141
1139 0.66806 10.352326344
1140 0.67112 10.360634921
1141 0.6742 10.368984967
1142 0.67728 10.377312009
