x y z time
-0.628808 -4.16626 0.00185636 2.86997
-0.628260 -4.16307 0.00185709 2.87097
-0.627712 -4.15988 0.00185783 2.87197
-0.627164 -4.15669 0.00185856 2.87297
-0.626614 -4.15350 0.00185930 2.87397
-0.626065 -4.15031 0.00186004 2.87497
-0.625515 -4.14712 0.00186078 2.87597
-0.624964 -4.14393 0.00186152 2.87697
-0.624413 -4.14074 0.00186227 2.87797
-0.623862 -4.13755 0.00186301 2.87897
-0.623310 -4.13436 0.00186376 2.87997
-0.622757 -4.13117 0.00186451 2.88097
-0.622204 -4.12797 0.00186526 2.88197
